"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
53798.7914051471,52194.9746369075,55402.6081733868,51345.9653245865,56251.6174857078
55015.4124202943,52392.2735194828,57638.5513211057,51003.6676647474,59027.1571758412
56232.0334354414,52575.3572311337,59888.7096397491,50639.6297770509,61824.4370938319
57448.6544505885,52706.4091807564,62190.8997204206,50196.0161763131,64701.2927248639
58665.2754657356,52776.3809885189,64554.1699429524,49658.9885597563,67671.562371715
59881.8964808828,52783.4996746063,66980.2932871592,49025.8353887458,70737.9575730198
61098.5174960299,52728.4063959017,69468.6285961581,48297.5372281163,73899.4977639435
62315.138511177,52612.6110851012,72017.6659372529,47476.4033206507,77153.8737017034
63531.7595263242,52437.9114311991,74625.6076214492,46565.1829944127,80498.3360582356
64748.3805414713,52206.1545188343,77290.6065641084,45566.7011215852,83930.0599613574
